cik,entityName,companyFact,end,val,accn,fy,fp,form,filed,units,company
320193,Apple Inc.,AssetsCurrent,2015-09-26,89378000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2015-09-26,89378000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2016-09-24,106869000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2016-09-24,106869000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2017-09-30,128645000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2017-09-30,128645000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2018-09-29,131339000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2018-09-29,131339000000,0000320193-19-000119,2019,FY,10-K,2019-10-31,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2019-09-28,162819000000,0000320193-19-000119,2019,FY,10-K,2019-10-31,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2019-09-28,162819000000,0000320193-20-000096,2020,FY,10-K,2020-10-30,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2020-09-26,143713000000,0000320193-20-000096,2020,FY,10-K,2020-10-30,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2020-09-26,143713000000,0000320193-21-000105,2021,FY,10-K,2021-10-29,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2021-09-25,134836000000,0000320193-21-000105,2021,FY,10-K,2021-10-29,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2021-09-25,134836000000,0000320193-22-000108,2022,FY,10-K,2022-10-28,USD,APPLE
320193,Apple Inc.,AssetsCurrent,2022-09-24,135405000000,0000320193-22-000108,2022,FY,10-K,2022-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2006-09-30,6392000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2007-09-29,9352000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2007-09-29,9352000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2008-09-27,11875000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2008-09-27,11875000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2008-09-27,11875000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2009-09-26,5263000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2009-09-26,5263000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2009-09-26,5263000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2009-09-26,5263000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2010-09-25,11261000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2010-09-25,11261000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2010-09-25,11261000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2010-09-25,11261000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2011-09-24,9815000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2011-09-24,9815000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2011-09-24,9815000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2011-09-24,9815000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2012-09-29,10746000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2012-09-29,10746000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2012-09-29,10746000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2012-09-29,10746000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2013-09-28,14259000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2013-09-28,14259000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2013-09-28,14259000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2013-09-28,14259000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2014-09-27,13844000000,0001193125-14-383437,2014,FY,10-K,2014-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2014-09-27,13844000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2014-09-27,13844000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2014-09-27,13844000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2015-09-26,21120000000,0001193125-15-356351,2015,FY,10-K,2015-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2015-09-26,21120000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2015-09-26,21120000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2015-09-26,21120000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2016-09-24,20484000000,0001628280-16-020309,2016,FY,10-K,2016-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2016-09-24,20484000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2016-09-24,20484000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2017-09-30,20289000000,0000320193-17-000070,2017,FY,10-K,2017-11-03,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2017-09-30,20289000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2018-09-29,25913000000,0000320193-18-000145,2018,FY,10-K,2018-11-05,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2018-09-29,25913000000,0000320193-19-000119,2019,FY,10-K,2019-10-31,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2019-09-28,48844000000,0000320193-19-000119,2019,FY,10-K,2019-10-31,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2019-09-28,48844000000,0000320193-20-000096,2020,FY,10-K,2020-10-30,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2020-09-26,38016000000,0000320193-20-000096,2020,FY,10-K,2020-10-30,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2020-09-26,38016000000,0000320193-21-000105,2021,FY,10-K,2021-10-29,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2021-09-25,34940000000,0000320193-21-000105,2021,FY,10-K,2021-10-29,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2021-09-25,34940000000,0000320193-22-000108,2022,FY,10-K,2022-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsAtCarryingValue,2022-09-24,23646000000,0000320193-22-000108,2022,FY,10-K,2022-10-28,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2007-09-29,2960000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2008-09-27,2523000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2008-09-27,2523000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2009-09-26,-6612000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2009-09-26,-6612000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2009-09-26,-6612000000,0001193125-09-214859,2009,FY,10-K,2009-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2010-09-25,5998000000,0001193125-12-444068,2012,FY,10-K,2012-10-31,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2010-09-25,5998000000,0001193125-11-282113,2011,FY,10-K,2011-10-26,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2010-09-25,5998000000,0001193125-10-238044,2010,FY,10-K,2010-10-27,USD,APPLE
320193,Apple Inc.,CashAndCashEquivalentsPeriodIncreaseDecrease,2011-09-24,-1446000000,0001193125-13-416534,2013,FY,10-K,2013-10-30,USD,APPLE
